Timestamp,Milliseconds,X,Y,Z
2022-05-19 23:32:35,1,-1.0686646,4.728775,9.31134
2022-05-19 23:32:35,10,-0.7693939,4.7000427,9.371201
2022-05-19 23:32:35,20,-0.7765808,4.642578,9.294586
2022-05-19 23:32:35,30,-1.0183868,4.594696,9.205994
2022-05-19 23:32:35,40,-1.3942719,4.6354065,9.062347
2022-05-19 23:32:35,50,-1.6815796,4.6473694,8.846863
2022-05-19 23:32:35,61,-1.6456757,4.6234283,8.719971
2022-05-19 23:32:35,70,-1.5307465,4.637802,8.662521
2022-05-19 23:32:35,80,-1.1500702,4.673706,8.487732
2022-05-19 23:32:35,90,-1.0135956,4.745529,8.456619
2022-05-19 23:32:35,100,-0.9944458,4.8125763,8.451828
2022-05-19 23:32:35,111,-1.1572571,4.905945,8.451828
2022-05-19 23:32:35,120,-1.2386475,4.8891907,8.485336
2022-05-19 23:32:35,130,-1.2697754,4.879608,8.595474
2022-05-19 23:32:35,140,-1.3080902,4.8293304,8.722366
2022-05-19 23:32:35,151,-1.2745667,4.84848,8.880386
2022-05-19 23:32:35,160,-1.2410431,4.807785,9.184448
2022-05-19 23:32:35,170,-1.2961121,4.8341217,9.308945
2022-05-19 23:32:35,181,-1.3176575,4.84848,9.447815
2022-05-19 23:32:35,190,-1.3224487,4.838913,9.531616
2022-05-19 23:32:35,200,-1.3871002,4.843689,9.536392
2022-05-19 23:32:35,210,-1.4325867,4.850876,9.574707
2022-05-19 23:32:35,220,-1.272171,4.7886353,9.675262
2022-05-19 23:32:35,230,-1.1716156,4.7191925,9.682449
2022-05-19 23:32:35,240,-1.0638733,4.764694,9.663284
2022-05-19 23:32:35,250,-1.006424,4.84848,9.658508
2022-05-19 23:32:35,260,-0.8867035,4.9083405,9.574707
2022-05-19 23:32:35,270,-0.7885437,4.9753723,9.507675
2022-05-19 23:32:35,280,-0.67362976,5.0232544,9.316132
2022-05-19 23:32:35,291,-0.5634918,5.0855103,9.07193
2022-05-19 23:32:35,300,-0.6257324,5.080719,8.894745
2022-05-19 23:32:35,312,-0.64967346,5.0232544,8.743912
2022-05-19 23:32:35,320,-0.72628784,4.958618,8.686462
2022-05-19 23:32:35,330,-0.8100891,4.862854,8.688858
2022-05-19 23:32:35,340,-0.7981262,4.824539,8.746307
2022-05-19 23:32:35,351,-0.7239075,4.721588,8.700821
2022-05-19 23:32:35,360,-0.5970154,4.6282196,8.655334
2022-05-19 23:32:35,370,-0.43180847,4.4654083,8.545197
2022-05-19 23:32:35,381,-0.35279846,4.3361206,8.540405
2022-05-19 23:32:35,390,-0.38153076,4.218811,8.643356
2022-05-19 23:32:35,400,-0.5419464,4.1182556,8.767853
2022-05-19 23:32:35,410,-0.7406616,4.044037,8.894745
2022-05-19 23:32:35,421,-0.96810913,4.024872,8.964188
2022-05-19 23:32:35,430,-1.1285248,3.969818,8.990524
2022-05-19 23:32:35,440,-1.035141,3.8932037,8.916306
2022-05-19 23:32:35,451,-0.76220703,3.8213654,8.703217
2022-05-19 23:32:35,460,-0.46533203,3.787857,8.576324
2022-05-19 23:32:35,470,-0.27378845,3.7734833,8.399155
2022-05-19 23:32:35,480,-0.21871948,3.7974243,8.336899
2022-05-19 23:32:35,491,-0.20196533,3.8285522,8.320145
2022-05-19 23:32:35,500,-0.307312,3.902771,8.380005
2022-05-19 23:32:35,511,-0.38871765,3.8764343,8.473373
2022-05-19 23:32:35,520,-0.36238098,3.8644714,8.432678
2022-05-19 23:32:35,530,-0.2570343,3.8979797,8.423096
2022-05-19 23:32:36,540,-0.18041992,3.945877,8.377609
2022-05-19 23:32:36,551,-0.017608643,3.9291077,8.40155
2022-05-19 23:32:36,560,0.08294678,3.9171448,8.365631
2022-05-19 23:32:36,570,0.2696991,3.9075623,8.339294
2022-05-19 23:32:36,581,0.22419739,4.072769,8.274658
2022-05-19 23:32:36,590,0.16435242,4.0895233,8.408722
2022-05-19 23:32:36,600,0.11167908,4.0033264,8.607452
2022-05-19 23:32:36,610,0.047027588,3.9195404,8.832504
2022-05-19 23:32:36,621,-0.036758423,3.8884125,8.980942
2022-05-19 23:32:36,630,-0.12774658,3.871643,9.07193
2022-05-19 23:32:36,640,-0.15408325,3.9003754,9.107834
2022-05-19 23:32:36,650,-0.08703613,3.9171448,9.026428
2022-05-19 23:32:36,661,0.013519287,3.9386902,8.916306
