time,seconds_elapsed,z,y,x
1621953358652649500,-302.2503505859375,1.307495972251892,-0.15665800391584633,-0.014235299970954655
1621953358662642400,-302.2403576660156,0.935222164016962,-0.06719605191648007,0.0545512360073626
1621953358672635600,-302.2303642578125,0.3280699248492718,0.035325288142263885,0.10576061424091458
1621953358682628400,-302.22037158203125,-0.24001053312420845,0.1742795853242278,0.14915771128833294
1621953358692621600,-302.21037841796874,-0.5552355894476175,0.21309563819169997,0.146789959243685
1621953358702614500,-302.2003854980469,-0.6190314775317907,0.1220823650971055,0.11022570389099419
1621953358712607500,-302.190392578125,-0.5458873308658599,-0.019128186579048634,0.07189867664948105
1621953358722600400,-302.1803996582031,-0.348638665625453,-0.1745779837489128,0.005549012429267168
1621953358732593700,-302.17040625,-0.07201134324371815,-0.25794015756845473,-0.05694938319027423
1621953358742586400,-302.16041357421875,0.13170681027173994,-0.24758856716305017,-0.11862345681488513
1621953358752579300,-302.15042065429685,0.20371055473089217,-0.16019874526262282,-0.1534875571861863
1621953358762572500,-302.1404274902344,0.13425591023266314,-0.024732874718308446,-0.1272758420869708
1621953358772565200,-302.1304348144531,-0.04126256923675537,0.1116954111173749,-0.07750219574496149
1621953358782558500,-302.1204416503906,-0.24759996533989906,0.17575082692056893,-0.047051966293156146
1621953358792551400,-302.11044848632815,-0.4105763586223125,0.1958621793180704,0.021352146238833664
1621953358802544600,-302.10045532226565,-0.5005465524047613,0.1782674859166145,0.07167524315714836
1621953358812537300,-302.09046264648435,-0.5166366864621639,0.12176146257966756,0.11443389617055653
1621953358822530600,-302.08046948242185,-0.46818157537281513,0.06702770961225032,0.13660671114251016
1621953358832523500,-302.0704765625,-0.3999105877012014,0.008116378699243068,0.14231113332919776
1621953358842516500,-302.0604833984375,-0.332068054574728,-0.04326046505570411,0.1192443651922047
1621953358852509400,-302.0504904785156,-0.1997054107427597,-0.06860825680196285,0.105396164842695
1621953358862502700,-302.04049731445315,-0.04886076928079128,-0.09808394213318825,0.06576331569962203
1621953358872495400,-302.03050463867186,0.07460428234636783,-0.10937982765138149,0.04632555171474814
1621953358882488600,-302.02051147460935,0.10512567733824252,-0.11068535729199647,0.017196780125051735
1621953358892481500,-302.0105185546875,0.1135702650785446,-0.11004384451806544,0.011890928801894187
1621953358902474500,-302.000525390625,0.09540390926897525,-0.08783259723186493,0.009695318453758954
1621953358912467500,-301.9905324707031,0.02007540430128574,-0.07932341982275247,0.033057854666933416
1621953358922460700,-301.98053930664065,-0.040326749691367146,-0.12063216628879309,0.02756941331848502
1621953358932453400,-301.97054663085936,-0.08064473155438899,-0.1624500313207507,-0.016911387312412263
1621953358942446600,-301.96055346679685,-0.047557285466790195,-0.15918226169645786,-0.028806626963242887
1621953358952439600,-301.950560546875,0.06839023013710975,-0.09630231941342353,-0.05130648193247616
1621953358962432500,-301.9405673828125,0.21791443665027618,-0.014086685280501842,-0.10238149319663643
1621953358972425500,-301.9305744628906,0.34657354978919025,0.0863350521504879,-0.13702785916402935
1621953358982418400,-301.92058154296876,0.36562837887108324,0.1636462553679943,-0.14245806751921772
1621953358992411400,-301.91058862304686,0.3523018643081188,0.24371610964387655,-0.16541889106370508
1621953359002404400,-301.900595703125,0.35121932976841924,0.33511575170755387,-0.15660656598955391
1621953359012397600,-301.8906025390625,0.3393780853271484,0.37311931914836166,-0.12729447372220457
1621953359022390300,-301.8806096191406,0.27755028244554997,0.3351896937265992,-0.19720131896734236
1621953359032383500,-301.8706164550781,0.2985346182852983,0.3163184045180678,-0.31775530545338987
1621953359042376400,-301.86062353515626,0.3108551706761122,0.37917876531779765,-0.3769127200819552
1621953359052369700,-301.85063037109376,0.36790976780652995,0.5029959913834929,-0.32941549423933025
1621953359062362400,-301.8406376953125,0.39273967315852637,0.5211541638866066,-0.29404541710726917
1621953359072355600,-301.83064453125,0.39088966137766834,0.4731123097732663,-0.27382906996533274
1621953359082348500,-301.8206513671875,0.4543529565066099,0.39219811362773177,-0.28849640467800197
1621953359092341500,-301.8106584472656,0.6963643080592155,0.30791268748342987,-0.36352424619868395
1621953359102334500,-301.80066552734377,0.9281599705457687,0.25178163493871686,-0.4354007110163569
1621953359112327700,-301.79067236328126,1.1323498332262039,0.21993425204008815,-0.4965926271472126
1621953359122320400,-301.7806796875,1.2519850974321365,0.16932547004818915,-0.5691669380359351
1621953359132313600,-301.77068627929685,1.4758061277776955,0.07069879934042692,-0.7080864561654627
1621953359142306600,-301.760693359375,1.4721803384959697,0.08294833232164382,-0.7591054263934492
1621953359152299500,-301.7507004394531,0.999971407303214,0.27094810770154,-0.9139653679113835
1621953359162292500,-301.74070751953127,0.6761106245815753,0.612807488450408,-1.2223399007529019
1621953359172285400,-301.73071459960937,0.5675216550469399,0.84652622795403,-0.6589423398986458
1621953359182278400,-301.7207216796875,0.44851299830675123,0.5486076957404613,-0.3351329951032996
1621953359192271400,-301.71072875976563,0.39134208132028575,0.18613164342045782,-0.902649681714177
1621953359202264600,-301.7007353515625,0.721990332224965,0.40087563334107396,-1.4735184552319347
1621953359212257300,-301.6907426757812,1.5036235245078802,0.7330565006405114,-2.0589799638561903
1621953359222250500,-301.6807495117188,2.5876421652853487,1.053776647248864,-2.462282093691826
1621953359232243500,-301.6707565917969,3.5609488530248403,1.208005378191173,-2.799513814640045
1621953359242236400,-301.660763671875,4.336193221053481,0.8499977034568786,-2.0939168372027575
1621953359252229400,-301.6507705078125,4.4148815578430884,0.02097878288179636,-1.925156161430478
1621953359262222600,-301.64077734375,2.5446955884844065,0.8785790702968835,-2.352601383397728
1621953359272215300,-301.6307846679687,1.9107482813715935,1.4988912352889776,-1.1606290022492407
1621953359282209000,-301.620791015625,2.208010395503044,1.3213953182667493,-1.4818267032414674
1621953359292202000,-301.6107980957031,2.2160510786175727,0.9959288539141415,-2.0604633342817427
1621953359302195000,-301.60080517578126,2.056351515048742,1.4810565956518054,-2.614993698069453
1621953359312188000,-301.59081201171875,1.248970133525133,2.546202485916018,-3.246967951543629
1621953359322180900,-301.58081909179685,0.11691022315621376,3.6035341952979563,-3.691981125035882
1621953359332173800,-301.570826171875,-1.3518202671468258,4.609640159833431,-2.6197897001743313
1621953359342166800,-301.5608332519531,-4.418630096721649,5.369749502572417,1.1004390297025441
1621953359352160000,-301.5508400878906,-4.171156388109922,4.320675333926081,2.922610032954812
1621953359362153000,-301.5408469238281,-0.25584347755014897,2.7980688765287396,-0.05116963074505329
1621953359372146000,-301.53085400390626,-1.2967185576498508,2.353189558549225,0.008306348313391209
1621953359382139000,-301.52086108398436,-1.4481570733517408,1.6929074944794178,0.39511575464010235
1621953359392132000,-301.51086791992185,-0.4930126497685909,1.3507427010431885,0.2223094567388296
1621953359402124800,-301.5008752441406,-0.37203999947905536,1.7352935147881507,0.16423662247657775
1621953359412118000,-301.4908820800781,-0.6543003593116998,2.7911574897050855,0.13683248272240162
1621953359422111000,-301.4808889160156,-0.5008095872551203,4.134423571257293,0.24129969615191219
1621953359432104000,-301.47089599609376,-0.6195657305389642,5.038032161131501,0.26566198399215935
1621953359442097000,-301.46090307617186,-1.2788152366906405,5.458508566999435,0.8853513409107923
1621953359452090000,-301.45090991210935,-1.3431652515262364,5.025603472191095,1.526822613787651
1621953359462082800,-301.4409172363281,0.0270136791318655,3.2570880712807178,1.0179626988068222
1621953359472076000,-301.4309240722656,1.5885282515943049,1.511547887766361,0.7405345814362168
1621953359482069000,-301.4209309082031,1.495551861733198,1.2290516733512282,1.1507207716971635
1621953359492062000,-301.41093798828126,-0.2654962720364332,1.2432061631709337,1.4328630581080912
1621953359502056000,-301.4009440917969,-1.9040613509535789,0.8522942899614572,1.299360596591234
1621953359512048000,-301.39095190429686,-1.82037652105093,0.9559370352655648,1.2607108402013778
1621953359522040800,-301.3809592285156,-0.9155249453783034,1.6677976031422614,1.1496166098475455
1621953359532034800,-301.3709650878906,-0.44957916623353955,1.7470824445202946,0.6666822865009308
1621953359542028000,-301.3609719238281,-0.11452420480251312,-0.07737550062537193,0.7018342639029026
1621953359552021000,-301.3509790039063,-0.4203559943586588,-2.149870925745368,1.3646248036623
1621953359562014000,-301.3409860839844,-0.13384966751933097,-3.37664004111737,0.03633504970669746
1621953359572007000,-301.3309931640625,0.8555617673248052,-3.5246512127190828,-1.9383377145648002
1621953359582000000,-301.32099975585936,0.47626609762907024,-1.9004905067294835,-2.626318225160241
1621953359591992800,-301.3110070800781,-2.9207079987257716,1.7968179508090019,3.7993630568683145
1621953359601986000,-301.3010139160156,-6.433751191237569,2.923117105694115,11.321288839519024
1621953359611979000,-301.2910209960938,-2.1859616453021764,0.4665317623391747,4.684788632059097
1621953359621972000,-301.2810280761719,0.7151046643644571,-1.338680799588561,3.1795237700849768
1621953359631965000,-301.27103515625,4.729716153544187,-3.221495364373922,0.5215700512111187
1621953359641958000,-301.2610419921875,4.900754857251048,-3.7715029900401826,-1.5437667343258856
1621953359651950800,-301.25104907226563,3.8934669894546268,-2.9141476172968743,-2.090899096816778
1621953359661943800,-301.24105615234373,2.757414794579148,-1.6050672984629868,-2.6995640786349773
1621953359671937000,-301.2310629882812,1.9204969374477863,-0.59324909376055,-4.3034886368036265
1621953359681929700,-301.2210703125,2.830513933059573,-0.43419498848840593,-2.5175866322845217
1621953359691923000,-301.2110771484375,3.8238691370934244,-1.3413995570279658,0.12605097646713256
