Timestamp,Milliseconds,X,Y,Z
2022-05-19 22:36:38,3,-0.21154785,4.2212067,10.17804
2022-05-19 22:36:38,13,-0.3480072,4.3026123,10.261841
2022-05-19 22:36:38,23,-0.036758423,4.1924744,10.137344
2022-05-19 22:36:38,33,0.11647034,4.1685333,9.950592
2022-05-19 22:36:38,43,0.2050476,4.2523346,9.730331
2022-05-19 22:36:38,53,0.11167908,4.305008,9.5651245
2022-05-19 22:36:38,63,0.13322449,4.4151306,9.428665
2022-05-19 22:36:38,73,0.1260376,4.4175262,9.42627
2022-05-19 22:36:38,84,0.054214478,4.357666,9.550766
2022-05-19 22:36:38,93,0.008728027,4.29303,9.555557
2022-05-19 22:36:38,103,-0.10380554,4.2475433,9.464569
2022-05-19 22:36:38,113,-0.18998718,4.2834473,9.354446
2022-05-19 22:36:38,123,-0.30491638,4.2690887,9.258667
2022-05-19 22:36:38,134,-0.25463867,4.1996613,9.261063
2022-05-19 22:36:38,143,-0.13014221,4.1661377,9.258667
2022-05-19 22:36:38,153,-0.041549683,4.084732,9.179657
2022-05-19 22:36:38,163,0.0063323975,4.123047,9.086288
2022-05-19 22:36:38,173,0.035064697,4.123047,9.052765
2022-05-19 22:36:38,183,0.0039367676,4.0559998,9.0312195
2022-05-19 22:36:38,193,-0.022399902,4.0344543,9.016861
2022-05-19 22:36:38,204,-0.18998718,4.041641,9.07431
2022-05-19 22:36:38,213,-0.29055786,4.020096,8.973755
2022-05-19 22:36:38,223,-0.30491638,4.0105133,8.851654
2022-05-19 22:36:38,233,-0.30970764,3.9674225,8.863632
2022-05-19 22:36:38,243,-0.30012512,3.909958,8.717575
2022-05-19 22:36:38,254,-0.33843994,3.8884125,8.61702
2022-05-19 22:36:38,263,-0.5036316,3.9147491,8.535629
2022-05-19 22:36:38,273,-0.7167206,3.8979797,8.554779
2022-05-19 22:36:38,283,-0.7693939,3.9003754,8.595474
2022-05-19 22:36:38,293,-0.69996643,3.8309479,8.715195
2022-05-19 22:36:38,303,-0.61616516,3.8261566,8.705612
2022-05-19 22:36:38,313,-0.64250183,3.8500977,8.729553
2022-05-19 22:36:38,323,-0.659256,3.8764343,8.717575
2022-05-19 22:36:38,333,-0.7574158,3.9530487,8.779831
2022-05-19 22:36:38,343,-0.85557556,3.926712,9.040802
2022-05-19 22:36:38,353,-0.76460266,3.933899,9.194031
2022-05-19 22:36:38,364,-0.6520691,3.8500977,9.217972
2022-05-19 22:36:38,373,-0.60658264,3.8812256,9.148544
2022-05-19 22:36:38,383,-0.48927307,3.9362946,9.028824
2022-05-19 22:36:38,393,-0.42222595,3.9386902,9.036011
2022-05-19 22:36:38,403,-0.40786743,3.926712,9.019257
2022-05-19 22:36:38,414,-0.4748993,3.969818,9.007278
2022-05-19 22:36:38,423,-0.63531494,4.0081177,9.098267
2022-05-19 22:36:38,433,-0.67362976,3.9937592,9.158112
2022-05-19 22:36:38,443,-0.683197,3.945877,9.241913
2022-05-19 22:36:38,453,-0.5682831,3.921936,9.285004
2022-05-19 22:36:38,463,-0.441391,3.95784,9.423874
2022-05-19 22:36:38,473,-0.4126587,3.9315033,9.431061
2022-05-19 22:36:38,483,-0.43899536,3.9650269,9.368805
2022-05-19 22:36:38,493,-0.446167,3.933899,9.3233185
2022-05-19 22:36:38,503,-0.45095825,3.9602356,9.277832
2022-05-19 22:36:38,513,-0.48687744,3.950653,9.277832
2022-05-19 22:36:38,524,-0.5467377,3.945877,9.241913
2022-05-19 22:36:38,533,-0.5467377,3.9722137,9.141357
2022-05-19 22:36:38,543,-0.48687744,3.945877,9.040802
2022-05-19 22:36:38,553,-0.446167,3.871643,9.064743
2022-05-19 22:36:38,563,-0.43659973,3.8860168,9.064743
2022-05-19 22:36:38,573,-0.48208618,3.8740387,9.124603
2022-05-19 22:36:38,584,-0.5108185,3.8860168,9.265854
2022-05-19 22:36:38,593,-0.48927307,3.8453217,9.354446
